GameStopID,GameTitle,ValueInfo1,ImgLink,Listing Url
122184,Rise of the Tomb Raider,$7.20*,https://www.gamestop.com/common/images/lbox/113168b.jpg,https://www.gamestop.com/trade/quote/games/122184
122318,Ratchet and Clank,$7.20*,https://www.gamestop.com/common/images/lbox/113390b.jpg,https://www.gamestop.com/trade/quote/games/122318
122746,Pokemon Super Mystery Dungeon,$7.20*,https://www.gamestop.com/common/images/lbox/113573b.jpg,https://www.gamestop.com/trade/quote/games/122746
122783,Bubble Bobble,$7.20*,https://www.gamestop.com/common/images/lbox/940012b.jpg,https://www.gamestop.com/trade/quote/games/122783
122803,Just Dance 2016,$7.20*,https://www.gamestop.com/common/images/lbox/113597b.jpg,https://www.gamestop.com/trade/quote/games/122803
123014,Tales of Zestiria,$7.20*,https://www.gamestop.com/common/images/lbox/113875b.jpg,https://www.gamestop.com/trade/quote/games/123014
123059,Sword Art Online: Lost Song,$7.20*,https://www.gamestop.com/common/images/lbox/113908b.jpg,https://www.gamestop.com/trade/quote/games/123059
123482,Divinity: Original Sin Enhanced Edition,$7.20*,https://www.gamestop.com/common/images/lbox/115153b1.jpg,https://www.gamestop.com/trade/quote/games/123482
125095,Donkey Kong,$7.20*,https://www.gamestop.com/common/images/lbox/114299b.jpg,https://www.gamestop.com/trade/quote/games/125095
125331,Deadpool,$7.20*,https://www.gamestop.com/common/images/lbox/117706b.jpg,https://www.gamestop.com/trade/quote/games/125331
125749,Captain America and the Avengers,$7.20*,https://www.gamestop.com/common/images/lbox/114254b.jpg,https://www.gamestop.com/trade/quote/games/125749
126829,Life is Strange,$7.20*,https://www.gamestop.com/common/images/lbox/119932b.jpg,https://www.gamestop.com/trade/quote/games/126829
128140,LEGO Star Wars: The Force Awakens,$7.20*,https://www.gamestop.com/common/images/lbox/121562b.jpg,https://www.gamestop.com/trade/quote/games/128140
128145,LEGO Star Wars: The Force Awakens,$7.20*,https://www.gamestop.com/common/images/lbox/121567b.jpg,https://www.gamestop.com/trade/quote/games/128145
128377,Star Ocean: Integrity and Faithlessness,$7.20*,https://www.gamestop.com/common/images/lbox/121855b.jpg,https://www.gamestop.com/trade/quote/games/128377
128378,World of Final Fantasy,$7.20*,https://www.gamestop.com/common/images/lbox/121853b1.jpg,https://www.gamestop.com/trade/quote/games/128378
128491,Teenage Mutant Ninja Turtles: Mutants in Manhattan,$7.20*,https://www.gamestop.com/common/images/lbox/122007brp.jpg,https://www.gamestop.com/trade/quote/games/128491
128915,Pokemon Rumble World,$7.20*,https://www.gamestop.com/common/images/lbox/122744b.jpg,https://www.gamestop.com/trade/quote/games/128915
129034,Dead Island Definitive Collection,$7.20*,https://www.gamestop.com/common/images/lbox/123727brp.jpg,https://www.gamestop.com/trade/quote/games/129034
129391,PlayStation 4 Wired Controller - Any Used,$7.20*,https://www.gamestop.com/common/images/lbox/no_image_b.jpg,https://www.gamestop.com/trade/quote/games/129391
